team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Mexico,Mexico,25,27.6,52.2,5,55,450,5.0,10,7,17,9,1,1,4,1,2.0,1.4,3.4,1.8,3.2,25,27.3,47.8,5,55,450,5.0,3,2,5,2,1,1,11,4,0.6,0.4,1.0,0.4,0.8,70,21,30.0,14.0,4.2,0.13,0.43,38,11,28.9,7.6,2.2,0.05,0.18,90,100,81,29,25,19,49,2.4,10,3,7,1.4,90,100,81,30,23,22,50,0.6,3,10,-7,-1.4,0,58,47,5,86,36,32,,,0,0,48,54,9,72,25,42,,,0,5,5,450,3,0.6,11,8,72.7,4,0,1,4,80.0,1,1,0,0,0.0,5,5,450,10,2.0,21,11,52.4,1,0,4,0,0.0,1,1,0,0,0.0
Morocco,Morocco,23,26.0,59.0,6,66,570,6.3,10,9,19,10,0,0,7,0,1.58,1.42,3.0,1.58,3.0,23,28.0,41.0,6,66,570,6.3,5,5,10,5,0,1,10,0,0.79,0.79,1.58,0.79,1.58,69,26,37.7,10.89,4.11,0.14,0.38,65,20,30.8,10.26,3.16,0.08,0.25,95,100,86,37,29,21,61,1.83,10,6,4,0.63,95,100,86,36,30,21,58,0.83,6,10,-4,-0.63,0,74,90,9,83,40,61,,,1,0,97,71,6,83,55,62,,,0,6,6,570,6,0.95,20,14,70.0,4,1,1,2,33.3,1,0,1,0,100.0,6,6,570,10,1.58,28,18,64.3,1,1,4,1,16.7,0,0,0,0,
Netherlands,Netherlands,22,27.2,53.3,4,44,390,4.3,10,10,20,10,0,0,3,0,2.31,2.31,4.62,2.31,4.62,22,27.1,46.8,4,44,390,4.3,5,5,10,5,0,0,4,0,1.15,1.15,2.31,1.15,2.31,46,22,47.8,10.62,5.08,0.22,0.45,47,20,42.6,10.85,4.62,0.11,0.25,98,100,87,23,21,23,38,2.0,11,5,6,1.38,98,100,87,24,20,24,38,0.5,5,11,-6,-1.38,0,44,43,8,74,36,27,,,0,0,45,40,5,75,28,42,,,1,4,4,390,5,1.15,21,16,76.2,2,1,1,0,0.0,0,0,0,0,,4,4,390,11,2.54,22,11,50.0,1,1,2,0,0.0,0,0,0,0,
New Zealand,New Zealand,17,28.1,47.0,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.0,2.33,1.33,2.33,17,30.0,53.0,3,33,270,3.0,10,7,17,10,0,0,2,0,3.33,2.33,5.67,3.33,5.67,31,15,48.4,10.33,5.0,0.13,0.27,71,21,29.6,23.67,7.0,0.14,0.48,90,100,81,18,15,19,29,0.33,4,10,-6,-2.0,90,100,81,19,15,20,28,2.33,10,4,6,2.0,0,32,24,4,44,24,21,,,0,0,25,31,3,57,28,31,,,0,3,3,270,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,0,,3,3,270,4,1.33,15,11,73.3,2,1,0,0,0.0,0,0,0,0,
Norway,Norway,25,27.1,52.2,6,66,570,6.3,12,10,22,12,0,1,3,0,1.89,1.58,3.47,1.89,3.47,25,27.1,47.8,6,66,570,6.3,11,9,20,10,1,2,3,0,1.74,1.42,3.16,1.58,3.0,66,29,43.9,10.42,4.58,0.18,0.41,87,31,35.6,13.74,4.89,0.11,0.32,95,100,83,38,28,28,61,2.0,13,11,2,0.32,95,100,83,36,30,26,58,1.0,11,13,-2,-0.32,0,58,41,5,78,44,67,,,0,0,49,57,15,111,48,71,,,1,6,6,570,11,1.74,31,20,64.5,4,0,2,0,0.0,2,1,1,0,50.0,6,6,570,13,2.05,27,14,51.9,2,0,4,0,0.0,1,0,1,0,100.0
Panama,Panama,20,28.8,45.7,3,33,270,3.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,20,27.3,54.3,3,33,270,3.0,4,3,7,4,0,0,3,0,1.33,1.0,2.33,1.33,2.33,32,7,21.9,10.67,2.33,0.0,0.0,31,10,32.3,10.33,3.33,0.13,0.4,90,100,84,20,13,15,32,0.0,0,4,-4,-1.33,90,100,84,18,15,24,28,3.0,4,0,4,1.33,0,46,33,6,59,15,27,,,0,0,34,45,10,58,18,32,,,0,3,3,270,4,1.33,11,7,63.6,0,0,3,0,0.0,0,0,0,0,,3,3,270,0,0.0,7,7,100.0,3,0,0,3,100.0,0,0,0,0,
Paraguay,Paraguay,24,28.0,30.0,5,55,480,5.3,3,3,6,3,0,0,9,1,0.56,0.56,1.13,0.56,1.13,24,27.0,70.0,5,55,480,5.3,5,4,9,4,1,1,10,0,0.94,0.75,1.69,0.75,1.5,35,8,22.9,6.56,1.5,0.09,0.38,96,27,28.1,18.0,5.06,0.04,0.15,96,100,85,29,25,23,48,1.0,3,6,-3,-0.56,96,100,85,35,20,27,52,1.6,6,3,3,0.56,0,66,60,5,43,53,88,,,1,0,62,65,8,151,38,48,,,0,5,5,480,6,1.13,29,23,79.3,2,1,2,2,40.0,1,1,0,0,0.0,5,5,480,3,0.56,8,5,62.5,2,1,2,2,40.0,0,0,0,0,
Portugal,Portugal,22,27.7,58.4,5,55,450,5.0,7,4,11,6,1,1,7,0,1.4,0.8,2.2,1.2,2.0,22,28.4,41.6,5,55,450,5.0,3,2,5,3,0,0,6,0,0.6,0.4,1.0,0.6,1.0,62,17,27.4,12.4,3.4,0.1,0.35,67,22,32.8,13.4,4.4,0.04,0.14,90,100,79,31,24,24,51,1.6,8,3,5,1.0,90,100,79,32,23,17,52,1.0,3,8,-5,-1.0,0,44,60,10,92,30,39,,,0,0,62,42,12,65,38,59,,,1,5,5,450,3,0.6,22,19,86.4,2,2,1,2,40.0,0,0,0,0,,5,5,450,8,1.6,18,10,55.6,1,2,2,2,40.0,1,1,0,0,0.0
Qatar,Qatar,22,29.7,33.0,3,33,270,3.0,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33,22,27.9,67.0,3,33,270,3.0,8,3,11,7,1,1,3,0,2.67,1.0,3.67,2.33,3.33,18,7,38.9,6.0,2.33,0.11,0.29,72,22,30.6,24.0,7.33,0.1,0.32,90,100,75,17,15,27,28,0.33,2,10,-8,-2.67,90,100,75,18,15,23,28,2.33,10,2,8,2.67,0,36,28,4,28,25,24,,,2,0,29,36,3,112,17,20,,,0,3,3,270,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,7,5,71.4,2,1,0,1,33.3,0,0,0,0,
Saudi Arabia,Saudi Arabia,18,28.6,38.3,3,33,270,3.0,1,0,1,1,0,0,6,0,0.33,0.0,0.33,0.33,0.33,18,28.5,61.7,3,33,270,3.0,4,3,7,4,0,0,1,0,1.33,1.0,2.33,1.33,2.33,17,7,41.2,5.67,2.33,0.06,0.14,64,20,31.3,21.33,6.67,0.06,0.2,90,100,79,18,15,24,30,0.67,1,5,-4,-1.33,90,100,79,18,15,26,26,1.67,5,1,4,1.33,0,29,26,3,22,29,36,,,1,0,26,27,10,90,39,22,,,0,3,3,270,5,1.67,21,16,76.2,0,2,1,1,33.3,0,0,0,0,,3,3,270,1,0.33,7,6,85.7,1,2,0,2,66.7,0,0,0,0,
